通し番号	作業番号	作業ファイル	申込番号	店舗種別	施設名称	施設所在地	施設ホームページURL
41959	225	3	81430043	居酒屋	たこ焼き酒場たこ太　瓦町店	〒541-0048 大阪府 大阪市中央区 瓦町２丁目１番１２号	http://www.bf-g.co.jp/
42192	458	3	33714720	スナック	スナックシベール	〒571-0066 大阪府 門真市 幸福町24-7	
42283	549	3	76198290	BAR	シーズバーファースト	〒530-0027 大阪府 大阪市北区 堂山町7	
42807	1073	3	29326697	その他	ハイアットリージェンシー大阪内28階　サロン・パノラマ	〒559-0034 大阪府 大阪市住之江区 南港北１丁目１３番１１号	https://www.hyatt.com/ja-JP/hotel/japan/hyatt-regency-osaka/osaka/special-events
43180	1446	3	10432995	BAR	ボードゲームバーボーダレス	〒534-0024 大阪府 大阪市都島区 東野田町2丁目9-15山佐ビル6F	https://boardgamebarbl.com/
43268	1534	3	81287731	和食	山ひげ	〒530-0002 大阪府 大阪市北区 曽根崎新地１－２－４　谷安セストビル１Ｆ	http://yamahige.site/
43403	1669	3	14393994	BAR	Grande	〒530-0003 大阪府 大阪市北区 堂島１丁目２番２３号ベガアークビル４階４０１号	
43462	1728	3	68043320	スナック	モナリザ	〒530-0002 大阪府 大阪市北区 曽根崎新地1-9-12	
43751	2018	3	91913721	カフェ・喫茶店	からふね屋珈琲　箕面店	〒562-0043 大阪府 箕面市 桜井2-14-19	http://karafuneya.jp/
43919	2186	3	42578902	スナック	JEWELUNA	〒563-0032 大阪府 池田市 石橋２丁目１５番地３０リベラールプラザ２FC	https://q9dsq.crayonsite.net/p/2/
43949	2216	3	32609398	中華料理	蘭梅	〒598-0007 大阪府 泉佐野市 上町1-8-26	
44073	2340	3	18497769	洋食（オムライス等）	紫山	〒571-0030 大阪府 門真市 末広町17-14	
44211	2478	3	99022767	カフェ・喫茶店	からふね屋CAFEあべのキューズモール店	〒545-0052 大阪府 大阪市阿倍野区 阿倍野筋1丁目6-1　あべのキューズモール2F	http://karafuneya.jp/
45247	413	4	97875926	BAR	サニークラウズ	〒538-0052 大阪府 大阪市鶴見区 横堤4-11-6	
46001	139	5	32082213	天ぷら屋	てんぷら ぶん金	〒541-0041 大阪府 大阪市中央区 北浜３―２―２５京阪淀屋橋ビル地下	
46036	177	5	66622601	カフェ・喫茶店	PAN no HAKO	〒542-0085 大阪府 大阪市中央区 心斎橋筋1-4-1　あしたの箱ビル2F	www.pound-house.com
46041	182	5	16899955	カフェ・喫茶店	ネコリパブリック大阪熊取町店	〒590-0451 大阪府 泉南郡熊取町 野田3丁目2297-1	https://www.neco-republic.jp/shop/shop-necorepublic-kumatori/
46500	33	6	85805624	アジア料理	肉まる	〒542-0066 大阪府 大阪市中央区 瓦屋町２丁目１４番１３号 OHS瓦屋町第一ビル２０１	
46517	50	6	24560742	中華料理	TONTON亭	〒544-0004 大阪府 大阪市生野区 巽北３丁目２０番１６号	https://www.chu-ka.com/shop/340006/
46563	96	6	45760699	イタリア料理	オッキーニ	〒530-0003 大阪府 大阪市北区 堂島2-2-2近鉄堂島ビルB1	
46572	105	6	48322225	串かつ屋	串カツ　くらちゃん	〒583-0027 大阪府 藤井寺市 岡１丁目６－１７アゴスト９０　２階	
46600	133	6	27213850	焼き鳥屋	やきとり武	〒553-0003 大阪府 大阪市福島区 福島5-13-2 福島maruビル2階	
46642	176	6	25217516	焼き鳥屋	闘鶏　南船場店	〒542-0081 大阪府 大阪市中央区 南船場４－１０－１３福ビル２階	
46644	178	6	94469320	その他	さかえ屋	〒557-0042 大阪府 大阪市西成区 岸里東1丁目6-15	
46781	318	6	53938612	BAR	Little she	〒585-0035 大阪府 南河内郡河南町 寛弘寺179-10	
